accession,host_group,anomaly_type,feature_kind,auc,precision_at_k,anomaly_windows,total_windows
GCF_028891345.1,grapevine,codon_order_shuffle,amino_class,0.9821428571428571,0.75,4,60
GCF_028891345.1,grapevine,foreign_segment,composition,1.0,1.0,4,60
GCF_028891345.1,grapevine,foreign_segment,codon64,1.0,1.0,4,60
GCF_028891345.1,grapevine,foreign_segment,amino_class,0.9732142857142857,0.75,4,60
GCF_053901445.1,grapevine,clustered_substitution,composition,1.0,1.0,4,60
GCF_053901445.1,grapevine,clustered_substitution,codon64,0.8035714285714286,0.25,4,60
GCF_053901445.1,grapevine,clustered_substitution,amino_class,0.8660714285714286,0.5,4,60
GCF_053901445.1,grapevine,codon_order_shuffle,composition,0.29464285714285715,0.0,4,60
GCF_053901445.1,grapevine,codon_order_shuffle,codon64,0.9732142857142857,0.75,4,60
GCF_053901445.1,grapevine,codon_order_shuffle,amino_class,1.0,1.0,4,60
GCF_053901445.1,grapevine,foreign_segment,composition,1.0,1.0,4,60
GCF_053901445.1,grapevine,foreign_segment,codon64,1.0,1.0,4,60
GCF_053901445.1,grapevine,foreign_segment,amino_class,0.9821428571428571,0.75,4,60
GCF_042239055.1,almond,clustered_substitution,composition,1.0,1.0,4,60
GCF_042239055.1,almond,clustered_substitution,codon64,1.0,1.0,4,60
GCF_042239055.1,almond,clustered_substitution,amino_class,0.9017857142857143,0.5,4,60
GCF_042239055.1,almond,codon_order_shuffle,composition,0.5892857142857143,0.25,4,60
GCF_042239055.1,almond,codon_order_shuffle,codon64,0.9821428571428571,0.5,4,60
GCF_042239055.1,almond,codon_order_shuffle,amino_class,0.9419642857142857,0.75,4,60
GCF_042239055.1,almond,foreign_segment,composition,1.0,1.0,4,60
GCF_042239055.1,almond,foreign_segment,codon64,1.0,1.0,4,60
GCF_042239055.1,almond,foreign_segment,amino_class,0.9910714285714286,0.75,4,60
GCF_042239545.1,almond,clustered_substitution,composition,1.0,1.0,4,60
GCF_042239545.1,almond,clustered_substitution,codon64,0.9107142857142857,0.5,4,60
GCF_042239545.1,almond,clustered_substitution,amino_class,0.96875,0.5,4,60
GCF_042239545.1,almond,codon_order_shuffle,composition,0.5803571428571429,0.0,4,60
GCF_042239545.1,almond,codon_order_shuffle,codon64,0.96875,0.5,4,60
GCF_042239545.1,almond,codon_order_shuffle,amino_class,0.9553571428571429,0.75,4,60
GCF_042239545.1,almond,foreign_segment,composition,1.0,1.0,4,60
GCF_042239545.1,almond,foreign_segment,codon64,1.0,1.0,4,60
GCF_042239545.1,almond,foreign_segment,amino_class,0.9955357142857143,0.75,4,60
GCF_029962045.1,almond,clustered_substitution,composition,1.0,1.0,4,60
GCF_029962045.1,almond,clustered_substitution,codon64,0.9375,0.5,4,60
GCF_029962045.1,almond,clustered_substitution,amino_class,0.8883928571428571,0.75,4,60
GCF_029962045.1,almond,codon_order_shuffle,composition,0.5535714285714286,0.0,4,60
GCF_029962045.1,almond,codon_order_shuffle,codon64,0.9910714285714286,0.75,4,60
GCF_029962045.1,almond,codon_order_shuffle,amino_class,0.8214285714285714,0.75,4,60
GCF_029962045.1,almond,foreign_segment,composition,1.0,1.0,4,60
GCF_029962045.1,almond,foreign_segment,codon64,0.9821428571428571,0.75,4,60
GCF_029962045.1,almond,foreign_segment,amino_class,1.0,1.0,4,60
GCF_055959565.1,almond,clustered_substitution,composition,1.0,1.0,4,60
GCF_055959565.1,almond,clustered_substitution,codon64,0.9508928571428571,0.5,4,60
GCF_055959565.1,almond,clustered_substitution,amino_class,0.9241071428571429,0.75,4,60
GCF_055959565.1,almond,codon_order_shuffle,composition,0.26785714285714285,0.0,4,60
GCF_055959565.1,almond,codon_order_shuffle,codon64,0.9017857142857143,0.5,4,60
GCF_055959565.1,almond,codon_order_shuffle,amino_class,0.9910714285714286,0.75,4,60
GCF_055959565.1,almond,foreign_segment,composition,1.0,1.0,4,60
GCF_055959565.1,almond,foreign_segment,codon64,0.9732142857142857,0.5,4,60
GCF_055959565.1,almond,foreign_segment,amino_class,0.9776785714285714,0.75,4,60
GCF_055959275.1,almond,clustered_substitution,composition,1.0,1.0,4,60
GCF_055959275.1,almond,clustered_substitution,codon64,0.9241071428571429,0.5,4,60
GCF_055959275.1,almond,clustered_substitution,amino_class,0.9464285714285714,0.5,4,60
GCF_055959275.1,almond,codon_order_shuffle,composition,0.6071428571428571,0.0,4,60
GCF_055959275.1,almond,codon_order_shuffle,codon64,0.9955357142857143,0.75,4,60
GCF_055959275.1,almond,codon_order_shuffle,amino_class,0.9241071428571429,0.25,4,60
GCF_055959275.1,almond,foreign_segment,composition,1.0,1.0,4,60
GCF_055959275.1,almond,foreign_segment,codon64,0.9732142857142857,0.75,4,60
GCF_055959275.1,almond,foreign_segment,amino_class,0.9821428571428571,0.75,4,60
GCF_055959555.1,almond,clustered_substitution,composition,1.0,1.0,4,60
GCF_055959555.1,almond,clustered_substitution,codon64,0.8973214285714286,0.5,4,60
GCF_055959555.1,almond,clustered_substitution,amino_class,0.9955357142857143,0.75,4,60
GCF_055959555.1,almond,codon_order_shuffle,composition,0.30357142857142855,0.0,4,60
GCF_055959555.1,almond,codon_order_shuffle,codon64,0.9821428571428571,0.5,4,60
GCF_055959555.1,almond,codon_order_shuffle,amino_class,0.9285714285714286,0.5,4,60
GCF_055959555.1,almond,foreign_segment,composition,1.0,1.0,4,60
GCF_055959555.1,almond,foreign_segment,codon64,1.0,1.0,4,60
GCF_055959555.1,almond,foreign_segment,amino_class,0.9017857142857143,0.75,4,60
GCF_029962025.1,almond,clustered_substitution,composition,1.0,1.0,4,60
GCF_029962025.1,almond,clustered_substitution,codon64,0.7678571428571429,0.5,4,60
GCF_029962025.1,almond,clustered_substitution,amino_class,1.0,1.0,4,60
GCF_029962025.1,almond,codon_order_shuffle,composition,0.5178571428571429,0.0,4,60
GCF_029962025.1,almond,codon_order_shuffle,codon64,0.9866071428571429,0.75,4,60
GCF_029962025.1,almond,codon_order_shuffle,amino_class,0.8660714285714286,0.25,4,60
GCF_029962025.1,almond,foreign_segment,composition,1.0,1.0,4,60
GCF_029962025.1,almond,foreign_segment,codon64,1.0,1.0,4,60
GCF_029962025.1,almond,foreign_segment,amino_class,0.9910714285714286,0.75,4,60
GCF_004023395.2,almond,clustered_substitution,composition,1.0,1.0,4,60
GCF_004023395.2,almond,clustered_substitution,codon64,0.8973214285714286,0.25,4,60
GCF_004023395.2,almond,clustered_substitution,amino_class,0.9732142857142857,0.75,4,60
GCF_004023395.2,almond,codon_order_shuffle,composition,0.4642857142857143,0.0,4,60
GCF_004023395.2,almond,codon_order_shuffle,codon64,1.0,1.0,4,60
GCF_004023395.2,almond,codon_order_shuffle,amino_class,0.9017857142857143,0.5,4,60
GCF_004023395.2,almond,foreign_segment,composition,1.0,1.0,4,60
GCF_004023395.2,almond,foreign_segment,codon64,1.0,1.0,4,60
GCF_004023395.2,almond,foreign_segment,amino_class,0.9821428571428571,0.75,4,60
GCF_055764455.1,almond,clustered_substitution,composition,1.0,1.0,4,60
GCF_055764455.1,almond,clustered_substitution,codon64,0.9196428571428571,0.75,4,60
GCF_055764455.1,almond,clustered_substitution,amino_class,0.96875,0.75,4,60
GCF_055764455.1,almond,codon_order_shuffle,composition,0.6674107142857143,0.25,4,60
GCF_055764455.1,almond,codon_order_shuffle,codon64,0.9419642857142857,0.25,4,60
GCF_055764455.1,almond,codon_order_shuffle,amino_class,1.0,1.0,4,60
GCF_055764455.1,almond,foreign_segment,composition,1.0,1.0,4,60
GCF_055764455.1,almond,foreign_segment,codon64,0.9732142857142857,0.5,4,60
GCF_055764455.1,almond,foreign_segment,amino_class,1.0,1.0,4,60
GCF_050157125.1,almond,clustered_substitution,composition,1.0,1.0,4,60
GCF_050157125.1,almond,clustered_substitution,codon64,0.9821428571428571,0.75,4,60
GCF_050157125.1,almond,clustered_substitution,amino_class,0.9464285714285714,0.5,4,60
GCF_050157125.1,almond,codon_order_shuffle,composition,0.6607142857142857,0.25,4,60
GCF_050157125.1,almond,codon_order_shuffle,codon64,0.96875,0.75,4,60
GCF_050157125.1,almond,codon_order_shuffle,amino_class,0.90625,0.5,4,60
GCF_050157125.1,almond,foreign_segment,composition,1.0,1.0,4,60
GCF_050157125.1,almond,foreign_segment,codon64,0.9955357142857143,0.75,4,60
GCF_050157125.1,almond,foreign_segment,amino_class,0.9464285714285714,0.75,4,60
GCF_042238405.1,olive,clustered_substitution,composition,1.0,1.0,4,60
GCF_042238405.1,olive,clustered_substitution,codon64,0.9642857142857143,0.5,4,60
GCF_042238405.1,olive,clustered_substitution,amino_class,0.9330357142857143,0.5,4,60
GCF_042238405.1,olive,codon_order_shuffle,composition,0.5803571428571429,0.0,4,60
GCF_042238405.1,olive,codon_order_shuffle,codon64,0.9464285714285714,0.5,4,60
GCF_042238405.1,olive,codon_order_shuffle,amino_class,0.9866071428571429,0.75,4,60
GCF_042238405.1,olive,foreign_segment,composition,1.0,1.0,4,60
GCF_042238405.1,olive,foreign_segment,codon64,1.0,1.0,4,60
GCF_042238405.1,olive,foreign_segment,amino_class,0.9553571428571429,0.5,4,60
GCF_012974125.1,olive,clustered_substitution,composition,1.0,1.0,4,60
GCF_012974125.1,olive,clustered_substitution,codon64,0.9821428571428571,0.75,4,60
GCF_012974125.1,olive,clustered_substitution,amino_class,0.9151785714285714,0.5,4,60
GCF_012974125.1,olive,codon_order_shuffle,composition,0.78125,0.25,4,60
GCF_012974125.1,olive,codon_order_shuffle,codon64,0.9866071428571429,0.75,4,60
GCF_012974125.1,olive,codon_order_shuffle,amino_class,0.9508928571428571,0.5,4,60
GCF_012974125.1,olive,foreign_segment,composition,1.0,1.0,4,60
GCF_012974125.1,olive,foreign_segment,codon64,1.0,1.0,4,60
GCF_012974125.1,olive,foreign_segment,amino_class,0.9821428571428571,0.75,4,60
GCF_012974145.1,olive,clustered_substitution,composition,1.0,1.0,4,60
GCF_012974145.1,olive,clustered_substitution,codon64,0.9419642857142857,0.5,4,60
GCF_012974145.1,olive,clustered_substitution,amino_class,0.9285714285714286,0.5,4,60
GCF_012974145.1,olive,codon_order_shuffle,composition,0.5513392857142857,0.0,4,60
GCF_012974145.1,olive,codon_order_shuffle,codon64,0.9910714285714286,0.75,4,60
GCF_012974145.1,olive,codon_order_shuffle,amino_class,0.9910714285714286,0.75,4,60
GCF_012974145.1,olive,foreign_segment,composition,1.0,1.0,4,60
GCF_012974145.1,olive,foreign_segment,codon64,0.9330357142857143,0.75,4,60
GCF_012974145.1,olive,foreign_segment,amino_class,1.0,1.0,4,60
GCF_029962065.1,olive,clustered_substitution,composition,1.0,1.0,4,60
GCF_029962065.1,olive,clustered_substitution,codon64,0.9866071428571429,0.75,4,60
GCF_029962065.1,olive,clustered_substitution,amino_class,0.9196428571428571,0.75,4,60
GCF_029962065.1,olive,codon_order_shuffle,composition,0.546875,0.0,4,60
GCF_029962065.1,olive,codon_order_shuffle,codon64,0.9553571428571429,0.75,4,60
GCF_029962065.1,olive,codon_order_shuffle,amino_class,1.0,1.0,4,60
GCF_029962065.1,olive,foreign_segment,composition,1.0,1.0,4,60
GCF_029962065.1,olive,foreign_segment,codon64,0.9866071428571429,0.75,4,60
GCF_029962065.1,olive,foreign_segment,amino_class,1.0,1.0,4,60
GCF_012974105.1,olive,clustered_substitution,composition,1.0,1.0,4,60
GCF_012974105.1,olive,clustered_substitution,codon64,0.9553571428571429,0.75,4,60
GCF_012974105.1,olive,clustered_substitution,amino_class,0.9866071428571429,0.75,4,60
GCF_012974105.1,olive,codon_order_shuffle,composition,0.6674107142857143,0.0,4,60
GCF_012974105.1,olive,codon_order_shuffle,codon64,1.0,1.0,4,60
GCF_012974105.1,olive,codon_order_shuffle,amino_class,0.9464285714285714,0.75,4,60
GCF_012974105.1,olive,foreign_segment,composition,1.0,1.0,4,60
GCF_012974105.1,olive,foreign_segment,codon64,0.9955357142857143,0.75,4,60
GCF_012974105.1,olive,foreign_segment,amino_class,0.9776785714285714,0.75,4,60
GCF_021474225.1,olive,clustered_substitution,composition,1.0,1.0,4,60
GCF_021474225.1,olive,clustered_substitution,codon64,0.9910714285714286,0.75,4,60
GCF_021474225.1,olive,clustered_substitution,amino_class,0.9598214285714286,0.5,4,60
GCF_021474225.1,olive,codon_order_shuffle,composition,0.6339285714285714,0.0,4,60
GCF_021474225.1,olive,codon_order_shuffle,codon64,0.9866071428571429,0.75,4,60
GCF_021474225.1,olive,codon_order_shuffle,amino_class,0.90625,0.75,4,60
GCF_021474225.1,olive,foreign_segment,composition,1.0,1.0,4,60
GCF_021474225.1,olive,foreign_segment,codon64,1.0,1.0,4,60
GCF_021474225.1,olive,foreign_segment,amino_class,1.0,1.0,4,60
GCF_002117875.1,olive,clustered_substitution,composition,1.0,1.0,4,60
GCF_002117875.1,olive,clustered_substitution,codon64,0.9285714285714286,0.5,4,60
GCF_002117875.1,olive,clustered_substitution,amino_class,0.9642857142857143,0.5,4,60
GCF_002117875.1,olive,codon_order_shuffle,composition,0.22767857142857142,0.0,4,60
GCF_002117875.1,olive,codon_order_shuffle,codon64,0.9776785714285714,0.5,4,60
GCF_002117875.1,olive,codon_order_shuffle,amino_class,0.8839285714285714,0.5,4,60
GCF_002117875.1,olive,foreign_segment,composition,1.0,1.0,4,60
GCF_002117875.1,olive,foreign_segment,codon64,0.9955357142857143,0.75,4,60
GCF_002117875.1,olive,foreign_segment,amino_class,0.9910714285714286,0.75,4,60
GCF_002954205.1,olive,clustered_substitution,composition,1.0,1.0,4,60
GCF_002954205.1,olive,clustered_substitution,codon64,0.9598214285714286,0.25,4,60
GCF_002954205.1,olive,clustered_substitution,amino_class,0.8928571428571429,0.5,4,60
GCF_002954205.1,olive,codon_order_shuffle,composition,0.36160714285714285,0.0,4,60
GCF_002954205.1,olive,codon_order_shuffle,codon64,0.9955357142857143,0.75,4,60
GCF_002954205.1,olive,codon_order_shuffle,amino_class,0.9955357142857143,0.75,4,60
GCF_002954205.1,olive,foreign_segment,composition,1.0,1.0,4,60
GCF_002954205.1,olive,foreign_segment,codon64,0.9866071428571429,0.75,4,60
GCF_002954205.1,olive,foreign_segment,amino_class,0.9866071428571429,0.75,4,60
GCF_042237735.1,olive,clustered_substitution,composition,1.0,1.0,4,60
GCF_042237735.1,olive,clustered_substitution,codon64,0.9553571428571429,0.5,4,60
GCF_042237735.1,olive,clustered_substitution,amino_class,0.9642857142857143,0.75,4,60
GCF_042237735.1,olive,codon_order_shuffle,composition,0.5357142857142857,0.0,4,60
GCF_042237735.1,olive,codon_order_shuffle,codon64,1.0,1.0,4,60
GCF_042237735.1,olive,codon_order_shuffle,amino_class,0.9598214285714286,0.5,4,60
GCF_042237735.1,olive,foreign_segment,composition,1.0,1.0,4,60
GCF_042237735.1,olive,foreign_segment,codon64,0.9910714285714286,0.75,4,60
GCF_042237735.1,olive,foreign_segment,amino_class,0.9955357142857143,0.75,4,60
GCF_042237065.1,olive,clustered_substitution,composition,1.0,1.0,4,60
GCF_042237065.1,olive,clustered_substitution,codon64,0.9241071428571429,0.25,4,60
GCF_042237065.1,olive,clustered_substitution,amino_class,0.9642857142857143,0.5,4,60
GCF_042237065.1,olive,codon_order_shuffle,composition,0.5133928571428571,0.0,4,60
GCF_042237065.1,olive,codon_order_shuffle,codon64,0.9776785714285714,0.75,4,60
GCF_042237065.1,olive,codon_order_shuffle,amino_class,0.9821428571428571,0.75,4,60
GCF_042237065.1,olive,foreign_segment,composition,1.0,1.0,4,60
GCF_042237065.1,olive,foreign_segment,codon64,0.9598214285714286,0.25,4,60
GCF_042237065.1,olive,foreign_segment,amino_class,1.0,1.0,4,60
GCF_004016415.2,coffee,clustered_substitution,composition,1.0,1.0,4,60
GCF_004016415.2,coffee,clustered_substitution,codon64,0.9598214285714286,0.25,4,60
GCF_004016415.2,coffee,clustered_substitution,amino_class,0.9642857142857143,0.75,4,60
GCF_004016415.2,coffee,codon_order_shuffle,composition,0.35267857142857145,0.0,4,60
GCF_004016415.2,coffee,codon_order_shuffle,codon64,0.9732142857142857,0.5,4,60
GCF_004016415.2,coffee,codon_order_shuffle,amino_class,1.0,1.0,4,60
GCF_004016415.2,coffee,foreign_segment,composition,1.0,1.0,4,60
GCF_004016415.2,coffee,foreign_segment,codon64,0.9910714285714286,0.75,4,60
GCF_004016415.2,coffee,foreign_segment,amino_class,0.9955357142857143,0.75,4,60
GCF_001456195.2,coffee,clustered_substitution,composition,1.0,1.0,4,60
GCF_001456195.2,coffee,clustered_substitution,codon64,0.9821428571428571,0.75,4,60
GCF_001456195.2,coffee,clustered_substitution,amino_class,0.8928571428571429,0.5,4,60
GCF_001456195.2,coffee,codon_order_shuffle,composition,0.42857142857142855,0.0,4,60
GCF_001456195.2,coffee,codon_order_shuffle,codon64,0.9866071428571429,0.75,4,60
GCF_001456195.2,coffee,codon_order_shuffle,amino_class,0.9553571428571429,0.75,4,60
GCF_001456195.2,coffee,foreign_segment,composition,1.0,1.0,4,60
GCF_001456195.2,coffee,foreign_segment,codon64,1.0,1.0,4,60
GCF_001456195.2,coffee,foreign_segment,amino_class,1.0,1.0,4,60
GCF_048564955.1,coffee,clustered_substitution,composition,1.0,1.0,4,60
GCF_048564955.1,coffee,clustered_substitution,codon64,0.9598214285714286,0.25,4,60
GCF_048564955.1,coffee,clustered_substitution,amino_class,0.9910714285714286,0.75,4,60
GCF_048564955.1,coffee,codon_order_shuffle,composition,0.5736607142857143,0.0,4,60
GCF_048564955.1,coffee,codon_order_shuffle,codon64,0.9910714285714286,0.75,4,60
GCF_048564955.1,coffee,codon_order_shuffle,amino_class,1.0,1.0,4,60
GCF_048564955.1,coffee,foreign_segment,composition,1.0,1.0,4,60
GCF_048564955.1,coffee,foreign_segment,codon64,1.0,1.0,4,60
GCF_048564955.1,coffee,foreign_segment,amino_class,1.0,1.0,4,60
GCF_032594475.1,coffee,clustered_substitution,composition,1.0,1.0,4,60
GCF_032594475.1,coffee,clustered_substitution,codon64,0.9776785714285714,0.75,4,60
GCF_032594475.1,coffee,clustered_substitution,amino_class,0.9598214285714286,0.5,4,60
GCF_032594475.1,coffee,codon_order_shuffle,composition,0.5334821428571429,0.0,4,60
GCF_032594475.1,coffee,codon_order_shuffle,codon64,0.9732142857142857,0.5,4,60
GCF_032594475.1,coffee,codon_order_shuffle,amino_class,0.9910714285714286,0.75,4,60
GCF_032594475.1,coffee,foreign_segment,composition,1.0,1.0,4,60
GCF_032594475.1,coffee,foreign_segment,codon64,0.9776785714285714,0.75,4,60
GCF_032594475.1,coffee,foreign_segment,amino_class,0.9955357142857143,0.75,4,60
GCF_032594455.1,coffee,clustered_substitution,composition,1.0,1.0,4,60
GCF_032594455.1,coffee,clustered_substitution,codon64,0.9196428571428571,0.25,4,60
GCF_032594455.1,coffee,clustered_substitution,amino_class,0.9732142857142857,0.75,4,60
GCF_032594455.1,coffee,codon_order_shuffle,composition,0.7678571428571429,0.25,4,60
GCF_032594455.1,coffee,codon_order_shuffle,codon64,0.9776785714285714,0.75,4,60
GCF_032594455.1,coffee,codon_order_shuffle,amino_class,0.9553571428571429,0.75,4,60
GCF_032594455.1,coffee,foreign_segment,composition,1.0,1.0,4,60
GCF_032594455.1,coffee,foreign_segment,codon64,1.0,1.0,4,60
GCF_032594455.1,coffee,foreign_segment,amino_class,1.0,1.0,4,60
GCF_041053125.1,coffee,clustered_substitution,composition,1.0,1.0,4,60
GCF_041053125.1,coffee,clustered_substitution,codon64,0.9464285714285714,0.75,4,60
GCF_041053125.1,coffee,clustered_substitution,amino_class,0.9419642857142857,0.5,4,60
GCF_041053125.1,coffee,codon_order_shuffle,composition,0.375,0.0,4,60
GCF_041053125.1,coffee,codon_order_shuffle,codon64,1.0,1.0,4,60
GCF_041053125.1,coffee,codon_order_shuffle,amino_class,0.9508928571428571,0.75,4,60
GCF_041053125.1,coffee,foreign_segment,composition,1.0,1.0,4,60
GCF_041053125.1,coffee,foreign_segment,codon64,1.0,1.0,4,60
GCF_041053125.1,coffee,foreign_segment,amino_class,1.0,1.0,4,60
GCF_028226975.1,coffee,clustered_substitution,composition,1.0,1.0,4,60
GCF_028226975.1,coffee,clustered_substitution,codon64,0.9910714285714286,0.75,4,60
GCF_028226975.1,coffee,clustered_substitution,amino_class,0.9642857142857143,0.75,4,60
GCF_028226975.1,coffee,codon_order_shuffle,composition,0.5178571428571429,0.0,4,60
GCF_028226975.1,coffee,codon_order_shuffle,codon64,0.8928571428571429,0.25,4,60
GCF_028226975.1,coffee,codon_order_shuffle,amino_class,1.0,1.0,4,60
GCF_028226975.1,coffee,foreign_segment,composition,1.0,1.0,4,60
GCF_028226975.1,coffee,foreign_segment,codon64,1.0,1.0,4,60
GCF_028226975.1,coffee,foreign_segment,amino_class,0.9776785714285714,0.75,4,60
GCF_053901285.1,coffee,clustered_substitution,composition,1.0,1.0,4,60
GCF_053901285.1,coffee,clustered_substitution,codon64,0.8883928571428571,0.0,4,60
GCF_053901285.1,coffee,clustered_substitution,amino_class,0.8705357142857143,0.5,4,60
GCF_053901285.1,coffee,codon_order_shuffle,composition,0.47544642857142855,0.0,4,60
GCF_053901285.1,coffee,codon_order_shuffle,codon64,0.9910714285714286,0.75,4,60
