accession,host_group,anomaly_type,method,auc,precision_at_4,anomaly_indices,donor_group,donor_accession,donor_window_indices
GCF_028227635.1,grapevine,clustered_substitution,compression,1.0,1.0,9;12;36;39,,,
GCF_028227635.1,grapevine,triplet_order_shuffle,composition,0.48660714285714285,0.0,9;12;36;39,,,
GCF_028227635.1,grapevine,triplet_order_shuffle,triplet_distribution,0.48660714285714285,0.0,9;12;36;39,,,
GCF_028227635.1,grapevine,triplet_order_shuffle,pitch_order,1.0,1.0,9;12;36;39,,,
GCF_028227635.1,grapevine,triplet_order_shuffle,triplet_transition,1.0,1.0,9;12;36;39,,,
GCF_028227635.1,grapevine,triplet_order_shuffle,sixmer,1.0,1.0,9;12;36;39,,,
GCF_028227635.1,grapevine,triplet_order_shuffle,compression,1.0,1.0,9;12;36;39,,,
GCF_028227635.1,grapevine,foreign_segment,composition,1.0,1.0,9;12;36;39,olive,GCF_012974105.1,9:29;12:3;36:45;39:25
GCF_028227635.1,grapevine,foreign_segment,triplet_distribution,1.0,1.0,9;12;36;39,olive,GCF_012974105.1,9:29;12:3;36:45;39:25
GCF_028227635.1,grapevine,foreign_segment,pitch_order,1.0,1.0,9;12;36;39,olive,GCF_012974105.1,9:29;12:3;36:45;39:25
GCF_028227635.1,grapevine,foreign_segment,triplet_transition,1.0,1.0,9;12;36;39,olive,GCF_012974105.1,9:29;12:3;36:45;39:25
GCF_028227635.1,grapevine,foreign_segment,sixmer,1.0,1.0,9;12;36;39,olive,GCF_012974105.1,9:29;12:3;36:45;39:25
GCF_028227635.1,grapevine,foreign_segment,compression,1.0,1.0,9;12;36;39,olive,GCF_012974105.1,9:29;12:3;36:45;39:25
GCF_014249995.1,grapevine,clustered_substitution,composition,1.0,1.0,23;40;51;54,,,
GCF_014249995.1,grapevine,clustered_substitution,triplet_distribution,1.0,1.0,23;40;51;54,,,
GCF_014249995.1,grapevine,clustered_substitution,pitch_order,1.0,1.0,23;40;51;54,,,
GCF_014249995.1,grapevine,clustered_substitution,triplet_transition,1.0,1.0,23;40;51;54,,,
GCF_014249995.1,grapevine,clustered_substitution,sixmer,1.0,1.0,23;40;51;54,,,
GCF_014249995.1,grapevine,clustered_substitution,compression,1.0,1.0,23;40;51;54,,,
GCF_014249995.1,grapevine,triplet_order_shuffle,composition,0.29910714285714285,0.0,23;40;51;54,,,
GCF_014249995.1,grapevine,triplet_order_shuffle,triplet_distribution,0.30357142857142855,0.0,23;40;51;54,,,
GCF_014249995.1,grapevine,triplet_order_shuffle,pitch_order,1.0,1.0,23;40;51;54,,,
GCF_014249995.1,grapevine,triplet_order_shuffle,triplet_transition,1.0,1.0,23;40;51;54,,,
GCF_014249995.1,grapevine,triplet_order_shuffle,sixmer,1.0,1.0,23;40;51;54,,,
GCF_014249995.1,grapevine,triplet_order_shuffle,compression,1.0,1.0,23;40;51;54,,,
GCF_014249995.1,grapevine,foreign_segment,composition,1.0,1.0,23;40;51;54,coffee,GCF_048564955.1,23:9;40:34;51:13;54:37
GCF_014249995.1,grapevine,foreign_segment,triplet_distribution,1.0,1.0,23;40;51;54,coffee,GCF_048564955.1,23:9;40:34;51:13;54:37
GCF_014249995.1,grapevine,foreign_segment,pitch_order,1.0,1.0,23;40;51;54,coffee,GCF_048564955.1,23:9;40:34;51:13;54:37
GCF_014249995.1,grapevine,foreign_segment,triplet_transition,1.0,1.0,23;40;51;54,coffee,GCF_048564955.1,23:9;40:34;51:13;54:37
GCF_014249995.1,grapevine,foreign_segment,sixmer,1.0,1.0,23;40;51;54,coffee,GCF_048564955.1,23:9;40:34;51:13;54:37
GCF_014249995.1,grapevine,foreign_segment,compression,1.0,1.0,23;40;51;54,coffee,GCF_048564955.1,23:9;40:34;51:13;54:37
GCF_028227275.1,grapevine,clustered_substitution,composition,1.0,1.0,14;39;49;51,,,
GCF_028227275.1,grapevine,clustered_substitution,triplet_distribution,1.0,1.0,14;39;49;51,,,
GCF_028227275.1,grapevine,clustered_substitution,pitch_order,1.0,1.0,14;39;49;51,,,
GCF_028227275.1,grapevine,clustered_substitution,triplet_transition,1.0,1.0,14;39;49;51,,,
GCF_028227275.1,grapevine,clustered_substitution,sixmer,1.0,1.0,14;39;49;51,,,
GCF_028227275.1,grapevine,clustered_substitution,compression,1.0,1.0,14;39;49;51,,,
GCF_028227275.1,grapevine,triplet_order_shuffle,composition,0.45089285714285715,0.0,14;39;49;51,,,
GCF_028227275.1,grapevine,triplet_order_shuffle,triplet_distribution,0.45089285714285715,0.0,14;39;49;51,,,
GCF_028227275.1,grapevine,triplet_order_shuffle,pitch_order,1.0,1.0,14;39;49;51,,,
GCF_028227275.1,grapevine,triplet_order_shuffle,triplet_transition,1.0,1.0,14;39;49;51,,,
GCF_028227275.1,grapevine,triplet_order_shuffle,sixmer,1.0,1.0,14;39;49;51,,,
GCF_028227275.1,grapevine,triplet_order_shuffle,compression,1.0,1.0,14;39;49;51,,,
GCF_028227275.1,grapevine,foreign_segment,composition,1.0,1.0,14;39;49;51,other_prunus,GCF_015475955.1,14:3;39:25;49:50;51:35
GCF_028227275.1,grapevine,foreign_segment,triplet_distribution,1.0,1.0,14;39;49;51,other_prunus,GCF_015475955.1,14:3;39:25;49:50;51:35
GCF_028227275.1,grapevine,foreign_segment,pitch_order,1.0,1.0,14;39;49;51,other_prunus,GCF_015475955.1,14:3;39:25;49:50;51:35
GCF_028227275.1,grapevine,foreign_segment,triplet_transition,1.0,1.0,14;39;49;51,other_prunus,GCF_015475955.1,14:3;39:25;49:50;51:35
GCF_028227275.1,grapevine,foreign_segment,sixmer,1.0,1.0,14;39;49;51,other_prunus,GCF_015475955.1,14:3;39:25;49:50;51:35
GCF_028227275.1,grapevine,foreign_segment,compression,1.0,1.0,14;39;49;51,other_prunus,GCF_015475955.1,14:3;39:25;49:50;51:35
GCF_055766035.1,grapevine,clustered_substitution,composition,1.0,1.0,15;39;41;46,,,
GCF_055766035.1,grapevine,clustered_substitution,triplet_distribution,1.0,1.0,15;39;41;46,,,
GCF_055766035.1,grapevine,clustered_substitution,pitch_order,1.0,1.0,15;39;41;46,,,
GCF_055766035.1,grapevine,clustered_substitution,triplet_transition,1.0,1.0,15;39;41;46,,,
GCF_055766035.1,grapevine,clustered_substitution,sixmer,1.0,1.0,15;39;41;46,,,
GCF_055766035.1,grapevine,clustered_substitution,compression,1.0,1.0,15;39;41;46,,,
GCF_055766035.1,grapevine,triplet_order_shuffle,composition,0.39732142857142855,0.0,15;39;41;46,,,
GCF_055766035.1,grapevine,triplet_order_shuffle,triplet_distribution,0.39285714285714285,0.0,15;39;41;46,,,
GCF_055766035.1,grapevine,triplet_order_shuffle,pitch_order,1.0,1.0,15;39;41;46,,,
GCF_055766035.1,grapevine,triplet_order_shuffle,triplet_transition,1.0,1.0,15;39;41;46,,,
GCF_055766035.1,grapevine,triplet_order_shuffle,sixmer,1.0,1.0,15;39;41;46,,,
GCF_055766035.1,grapevine,triplet_order_shuffle,compression,1.0,1.0,15;39;41;46,,,
GCF_055766035.1,grapevine,foreign_segment,composition,1.0,1.0,15;39;41;46,coffee,GCF_032594455.1,15:42;39:32;41:40;46:39
GCF_055766035.1,grapevine,foreign_segment,triplet_distribution,1.0,1.0,15;39;41;46,coffee,GCF_032594455.1,15:42;39:32;41:40;46:39
GCF_055766035.1,grapevine,foreign_segment,pitch_order,1.0,1.0,15;39;41;46,coffee,GCF_032594455.1,15:42;39:32;41:40;46:39
GCF_055766035.1,grapevine,foreign_segment,triplet_transition,1.0,1.0,15;39;41;46,coffee,GCF_032594455.1,15:42;39:32;41:40;46:39
GCF_055766035.1,grapevine,foreign_segment,sixmer,1.0,1.0,15;39;41;46,coffee,GCF_032594455.1,15:42;39:32;41:40;46:39
GCF_055766035.1,grapevine,foreign_segment,compression,1.0,1.0,15;39;41;46,coffee,GCF_032594455.1,15:42;39:32;41:40;46:39
GCF_011801475.1,grapevine,clustered_substitution,composition,1.0,1.0,10;17;19;29,,,
GCF_011801475.1,grapevine,clustered_substitution,triplet_distribution,1.0,1.0,10;17;19;29,,,
GCF_011801475.1,grapevine,clustered_substitution,pitch_order,1.0,1.0,10;17;19;29,,,
GCF_011801475.1,grapevine,clustered_substitution,triplet_transition,1.0,1.0,10;17;19;29,,,
GCF_011801475.1,grapevine,clustered_substitution,sixmer,1.0,1.0,10;17;19;29,,,
GCF_011801475.1,grapevine,clustered_substitution,compression,1.0,1.0,10;17;19;29,,,
GCF_011801475.1,grapevine,triplet_order_shuffle,composition,0.4330357142857143,0.25,10;17;19;29,,,
GCF_011801475.1,grapevine,triplet_order_shuffle,triplet_distribution,0.4330357142857143,0.25,10;17;19;29,,,
GCF_011801475.1,grapevine,triplet_order_shuffle,pitch_order,1.0,1.0,10;17;19;29,,,
GCF_011801475.1,grapevine,triplet_order_shuffle,triplet_transition,1.0,1.0,10;17;19;29,,,
GCF_011801475.1,grapevine,triplet_order_shuffle,sixmer,1.0,1.0,10;17;19;29,,,
GCF_011801475.1,grapevine,triplet_order_shuffle,compression,1.0,1.0,10;17;19;29,,,
GCF_011801475.1,grapevine,foreign_segment,composition,1.0,1.0,10;17;19;29,olive,GCF_012974145.1,10:17;17:59;19:10;29:29
GCF_011801475.1,grapevine,foreign_segment,triplet_distribution,1.0,1.0,10;17;19;29,olive,GCF_012974145.1,10:17;17:59;19:10;29:29
GCF_011801475.1,grapevine,foreign_segment,pitch_order,1.0,1.0,10;17;19;29,olive,GCF_012974145.1,10:17;17:59;19:10;29:29
GCF_011801475.1,grapevine,foreign_segment,triplet_transition,1.0,1.0,10;17;19;29,olive,GCF_012974145.1,10:17;17:59;19:10;29:29
GCF_011801475.1,grapevine,foreign_segment,sixmer,1.0,1.0,10;17;19;29,olive,GCF_012974145.1,10:17;17:59;19:10;29:29
GCF_011801475.1,grapevine,foreign_segment,compression,1.0,1.0,10;17;19;29,olive,GCF_012974145.1,10:17;17:59;19:10;29:29
GCF_004016315.2,grapevine,clustered_substitution,composition,1.0,1.0,5;12;23;46,,,
GCF_004016315.2,grapevine,clustered_substitution,triplet_distribution,1.0,1.0,5;12;23;46,,,
GCF_004016315.2,grapevine,clustered_substitution,pitch_order,1.0,1.0,5;12;23;46,,,
GCF_004016315.2,grapevine,clustered_substitution,triplet_transition,1.0,1.0,5;12;23;46,,,
GCF_004016315.2,grapevine,clustered_substitution,sixmer,1.0,1.0,5;12;23;46,,,
GCF_004016315.2,grapevine,clustered_substitution,compression,1.0,1.0,5;12;23;46,,,
GCF_004016315.2,grapevine,triplet_order_shuffle,composition,0.39285714285714285,0.0,5;12;23;46,,,
GCF_004016315.2,grapevine,triplet_order_shuffle,triplet_distribution,0.39732142857142855,0.0,5;12;23;46,,,
GCF_004016315.2,grapevine,triplet_order_shuffle,pitch_order,1.0,1.0,5;12;23;46,,,
GCF_004016315.2,grapevine,triplet_order_shuffle,triplet_transition,1.0,1.0,5;12;23;46,,,
GCF_004016315.2,grapevine,triplet_order_shuffle,sixmer,1.0,1.0,5;12;23;46,,,
GCF_004016315.2,grapevine,triplet_order_shuffle,compression,1.0,1.0,5;12;23;46,,,
GCF_004016315.2,grapevine,foreign_segment,composition,1.0,1.0,5;12;23;46,other_prunus,GCF_055690575.1,5:15;12:50;23:6;46:42
GCF_004016315.2,grapevine,foreign_segment,triplet_distribution,1.0,1.0,5;12;23;46,other_prunus,GCF_055690575.1,5:15;12:50;23:6;46:42
GCF_004016315.2,grapevine,foreign_segment,pitch_order,1.0,1.0,5;12;23;46,other_prunus,GCF_055690575.1,5:15;12:50;23:6;46:42
GCF_004016315.2,grapevine,foreign_segment,triplet_transition,1.0,1.0,5;12;23;46,other_prunus,GCF_055690575.1,5:15;12:50;23:6;46:42
GCF_004016315.2,grapevine,foreign_segment,sixmer,1.0,1.0,5;12;23;46,other_prunus,GCF_055690575.1,5:15;12:50;23:6;46:42
GCF_004016315.2,grapevine,foreign_segment,compression,1.0,1.0,5;12;23;46,other_prunus,GCF_055690575.1,5:15;12:50;23:6;46:42
GCF_028891345.1,grapevine,clustered_substitution,composition,1.0,1.0,5;25;31;51,,,
GCF_028891345.1,grapevine,clustered_substitution,triplet_distribution,1.0,1.0,5;25;31;51,,,
GCF_028891345.1,grapevine,clustered_substitution,pitch_order,1.0,1.0,5;25;31;51,,,
GCF_028891345.1,grapevine,clustered_substitution,triplet_transition,1.0,1.0,5;25;31;51,,,
GCF_028891345.1,grapevine,clustered_substitution,sixmer,1.0,1.0,5;25;31;51,,,
GCF_028891345.1,grapevine,clustered_substitution,compression,1.0,1.0,5;25;31;51,,,
GCF_028891345.1,grapevine,triplet_order_shuffle,composition,0.5803571428571429,0.0,5;25;31;51,,,
GCF_028891345.1,grapevine,triplet_order_shuffle,triplet_distribution,0.5803571428571429,0.0,5;25;31;51,,,
GCF_028891345.1,grapevine,triplet_order_shuffle,pitch_order,1.0,1.0,5;25;31;51,,,
GCF_028891345.1,grapevine,triplet_order_shuffle,triplet_transition,1.0,1.0,5;25;31;51,,,
GCF_028891345.1,grapevine,triplet_order_shuffle,sixmer,1.0,1.0,5;25;31;51,,,
GCF_028891345.1,grapevine,triplet_order_shuffle,compression,1.0,1.0,5;25;31;51,,,
GCF_028891345.1,grapevine,foreign_segment,composition,1.0,1.0,5;25;31;51,almond,GCF_029962045.1,5:50;25:41;31:46;51:15
GCF_028891345.1,grapevine,foreign_segment,triplet_distribution,1.0,1.0,5;25;31;51,almond,GCF_029962045.1,5:50;25:41;31:46;51:15
GCF_028891345.1,grapevine,foreign_segment,pitch_order,1.0,1.0,5;25;31;51,almond,GCF_029962045.1,5:50;25:41;31:46;51:15
GCF_028891345.1,grapevine,foreign_segment,triplet_transition,1.0,1.0,5;25;31;51,almond,GCF_029962045.1,5:50;25:41;31:46;51:15
GCF_028891345.1,grapevine,foreign_segment,sixmer,1.0,1.0,5;25;31;51,almond,GCF_029962045.1,5:50;25:41;31:46;51:15
GCF_028891345.1,grapevine,foreign_segment,compression,1.0,1.0,5;25;31;51,almond,GCF_029962045.1,5:50;25:41;31:46;51:15
GCF_053901445.1,grapevine,clustered_substitution,composition,1.0,1.0,17;23;29;51,,,
GCF_053901445.1,grapevine,clustered_substitution,triplet_distribution,1.0,1.0,17;23;29;51,,,
GCF_053901445.1,grapevine,clustered_substitution,pitch_order,1.0,1.0,17;23;29;51,,,
GCF_053901445.1,grapevine,clustered_substitution,triplet_transition,1.0,1.0,17;23;29;51,,,
GCF_053901445.1,grapevine,clustered_substitution,sixmer,1.0,1.0,17;23;29;51,,,
GCF_053901445.1,grapevine,clustered_substitution,compression,1.0,1.0,17;23;29;51,,,
GCF_053901445.1,grapevine,triplet_order_shuffle,composition,0.44642857142857145,0.0,17;23;29;51,,,
GCF_053901445.1,grapevine,triplet_order_shuffle,triplet_distribution,0.45089285714285715,0.0,17;23;29;51,,,
GCF_053901445.1,grapevine,triplet_order_shuffle,pitch_order,1.0,1.0,17;23;29;51,,,
GCF_053901445.1,grapevine,triplet_order_shuffle,triplet_transition,1.0,1.0,17;23;29;51,,,
GCF_053901445.1,grapevine,triplet_order_shuffle,sixmer,1.0,1.0,17;23;29;51,,,
GCF_053901445.1,grapevine,triplet_order_shuffle,compression,1.0,1.0,17;23;29;51,,,
GCF_053901445.1,grapevine,foreign_segment,composition,1.0,1.0,17;23;29;51,coffee,GCF_001456195.2,17:6;23:19;29:16;51:52
GCF_053901445.1,grapevine,foreign_segment,triplet_distribution,1.0,1.0,17;23;29;51,coffee,GCF_001456195.2,17:6;23:19;29:16;51:52
GCF_053901445.1,grapevine,foreign_segment,pitch_order,1.0,1.0,17;23;29;51,coffee,GCF_001456195.2,17:6;23:19;29:16;51:52
GCF_053901445.1,grapevine,foreign_segment,triplet_transition,1.0,1.0,17;23;29;51,coffee,GCF_001456195.2,17:6;23:19;29:16;51:52
GCF_053901445.1,grapevine,foreign_segment,sixmer,1.0,1.0,17;23;29;51,coffee,GCF_001456195.2,17:6;23:19;29:16;51:52
GCF_053901445.1,grapevine,foreign_segment,compression,1.0,1.0,17;23;29;51,coffee,GCF_001456195.2,17:6;23:19;29:16;51:52
GCF_042239055.1,almond,clustered_substitution,composition,1.0,1.0,25;40;44;45,,,
GCF_042239055.1,almond,clustered_substitution,triplet_distribution,1.0,1.0,25;40;44;45,,,
GCF_042239055.1,almond,clustered_substitution,pitch_order,1.0,1.0,25;40;44;45,,,
GCF_042239055.1,almond,clustered_substitution,triplet_transition,1.0,1.0,25;40;44;45,,,
GCF_042239055.1,almond,clustered_substitution,sixmer,1.0,1.0,25;40;44;45,,,
GCF_042239055.1,almond,clustered_substitution,compression,1.0,1.0,25;40;44;45,,,
GCF_042239055.1,almond,triplet_order_shuffle,composition,0.6696428571428571,0.0,25;40;44;45,,,
GCF_042239055.1,almond,triplet_order_shuffle,triplet_distribution,0.65625,0.0,25;40;44;45,,,
GCF_042239055.1,almond,triplet_order_shuffle,pitch_order,1.0,1.0,25;40;44;45,,,
GCF_042239055.1,almond,triplet_order_shuffle,triplet_transition,1.0,1.0,25;40;44;45,,,
GCF_042239055.1,almond,triplet_order_shuffle,sixmer,1.0,1.0,25;40;44;45,,,
GCF_042239055.1,almond,triplet_order_shuffle,compression,1.0,1.0,25;40;44;45,,,
GCF_042239055.1,almond,foreign_segment,composition,1.0,1.0,25;40;44;45,grapevine,GCF_028227635.1,25:57;40:15;44:54;45:57
GCF_042239055.1,almond,foreign_segment,triplet_distribution,1.0,1.0,25;40;44;45,grapevine,GCF_028227635.1,25:57;40:15;44:54;45:57
GCF_042239055.1,almond,foreign_segment,pitch_order,1.0,1.0,25;40;44;45,grapevine,GCF_028227635.1,25:57;40:15;44:54;45:57
GCF_042239055.1,almond,foreign_segment,triplet_transition,1.0,1.0,25;40;44;45,grapevine,GCF_028227635.1,25:57;40:15;44:54;45:57
GCF_042239055.1,almond,foreign_segment,sixmer,1.0,1.0,25;40;44;45,grapevine,GCF_028227635.1,25:57;40:15;44:54;45:57
GCF_042239055.1,almond,foreign_segment,compression,1.0,1.0,25;40;44;45,grapevine,GCF_028227635.1,25:57;40:15;44:54;45:57
GCF_042239545.1,almond,clustered_substitution,composition,1.0,1.0,18;30;42;49,,,
GCF_042239545.1,almond,clustered_substitution,triplet_distribution,1.0,1.0,18;30;42;49,,,
GCF_042239545.1,almond,clustered_substitution,pitch_order,1.0,1.0,18;30;42;49,,,
GCF_042239545.1,almond,clustered_substitution,triplet_transition,1.0,1.0,18;30;42;49,,,
GCF_042239545.1,almond,clustered_substitution,sixmer,1.0,1.0,18;30;42;49,,,
GCF_042239545.1,almond,clustered_substitution,compression,1.0,1.0,18;30;42;49,,,
GCF_042239545.1,almond,triplet_order_shuffle,composition,0.5669642857142857,0.25,18;30;42;49,,,
GCF_042239545.1,almond,triplet_order_shuffle,triplet_distribution,0.5669642857142857,0.25,18;30;42;49,,,
GCF_042239545.1,almond,triplet_order_shuffle,pitch_order,1.0,1.0,18;30;42;49,,,
GCF_042239545.1,almond,triplet_order_shuffle,triplet_transition,1.0,1.0,18;30;42;49,,,
GCF_042239545.1,almond,triplet_order_shuffle,sixmer,1.0,1.0,18;30;42;49,,,
GCF_042239545.1,almond,triplet_order_shuffle,compression,1.0,1.0,18;30;42;49,,,
GCF_042239545.1,almond,foreign_segment,composition,1.0,1.0,18;30;42;49,grapevine,GCF_028227635.1,18:58;30:40;42:55;49:53
GCF_042239545.1,almond,foreign_segment,triplet_distribution,1.0,1.0,18;30;42;49,grapevine,GCF_028227635.1,18:58;30:40;42:55;49:53
GCF_042239545.1,almond,foreign_segment,pitch_order,1.0,1.0,18;30;42;49,grapevine,GCF_028227635.1,18:58;30:40;42:55;49:53
GCF_042239545.1,almond,foreign_segment,triplet_transition,1.0,1.0,18;30;42;49,grapevine,GCF_028227635.1,18:58;30:40;42:55;49:53
GCF_042239545.1,almond,foreign_segment,sixmer,1.0,1.0,18;30;42;49,grapevine,GCF_028227635.1,18:58;30:40;42:55;49:53
GCF_042239545.1,almond,foreign_segment,compression,1.0,1.0,18;30;42;49,grapevine,GCF_028227635.1,18:58;30:40;42:55;49:53
GCF_029962045.1,almond,clustered_substitution,composition,1.0,1.0,21;33;38;42,,,
GCF_029962045.1,almond,clustered_substitution,triplet_distribution,1.0,1.0,21;33;38;42,,,
GCF_029962045.1,almond,clustered_substitution,pitch_order,1.0,1.0,21;33;38;42,,,
GCF_029962045.1,almond,clustered_substitution,triplet_transition,1.0,1.0,21;33;38;42,,,
GCF_029962045.1,almond,clustered_substitution,sixmer,1.0,1.0,21;33;38;42,,,
GCF_029962045.1,almond,clustered_substitution,compression,1.0,1.0,21;33;38;42,,,
GCF_029962045.1,almond,triplet_order_shuffle,composition,0.7053571428571429,0.0,21;33;38;42,,,
GCF_029962045.1,almond,triplet_order_shuffle,triplet_distribution,0.7053571428571429,0.0,21;33;38;42,,,
GCF_029962045.1,almond,triplet_order_shuffle,pitch_order,1.0,1.0,21;33;38;42,,,
GCF_029962045.1,almond,triplet_order_shuffle,triplet_transition,1.0,1.0,21;33;38;42,,,
GCF_029962045.1,almond,triplet_order_shuffle,sixmer,1.0,1.0,21;33;38;42,,,
GCF_029962045.1,almond,triplet_order_shuffle,compression,1.0,1.0,21;33;38;42,,,
GCF_029962045.1,almond,foreign_segment,composition,1.0,1.0,21;33;38;42,olive,GCF_042238405.1,21:53;33:24;38:44;42:37
GCF_029962045.1,almond,foreign_segment,triplet_distribution,1.0,1.0,21;33;38;42,olive,GCF_042238405.1,21:53;33:24;38:44;42:37
GCF_029962045.1,almond,foreign_segment,pitch_order,1.0,1.0,21;33;38;42,olive,GCF_042238405.1,21:53;33:24;38:44;42:37
GCF_029962045.1,almond,foreign_segment,triplet_transition,1.0,1.0,21;33;38;42,olive,GCF_042238405.1,21:53;33:24;38:44;42:37
GCF_029962045.1,almond,foreign_segment,sixmer,1.0,1.0,21;33;38;42,olive,GCF_042238405.1,21:53;33:24;38:44;42:37
GCF_029962045.1,almond,foreign_segment,compression,1.0,1.0,21;33;38;42,olive,GCF_042238405.1,21:53;33:24;38:44;42:37
GCF_055959565.1,almond,clustered_substitution,composition,1.0,1.0,13;23;40;52,,,
GCF_055959565.1,almond,clustered_substitution,triplet_distribution,1.0,1.0,13;23;40;52,,,
GCF_055959565.1,almond,clustered_substitution,pitch_order,1.0,1.0,13;23;40;52,,,
GCF_055959565.1,almond,clustered_substitution,triplet_transition,1.0,1.0,13;23;40;52,,,
GCF_055959565.1,almond,clustered_substitution,sixmer,1.0,1.0,13;23;40;52,,,
GCF_055959565.1,almond,clustered_substitution,compression,1.0,1.0,13;23;40;52,,,
GCF_055959565.1,almond,triplet_order_shuffle,composition,0.5669642857142857,0.0,13;23;40;52,,,
GCF_055959565.1,almond,triplet_order_shuffle,triplet_distribution,0.5580357142857143,0.0,13;23;40;52,,,
GCF_055959565.1,almond,triplet_order_shuffle,pitch_order,1.0,1.0,13;23;40;52,,,
GCF_055959565.1,almond,triplet_order_shuffle,triplet_transition,1.0,1.0,13;23;40;52,,,
GCF_055959565.1,almond,triplet_order_shuffle,sixmer,1.0,1.0,13;23;40;52,,,
GCF_055959565.1,almond,triplet_order_shuffle,compression,1.0,1.0,13;23;40;52,,,
GCF_055959565.1,almond,foreign_segment,composition,1.0,1.0,13;23;40;52,grapevine,GCF_021459925.1,13:3;23:10;40:50;52:18
GCF_055959565.1,almond,foreign_segment,triplet_distribution,1.0,1.0,13;23;40;52,grapevine,GCF_021459925.1,13:3;23:10;40:50;52:18
GCF_055959565.1,almond,foreign_segment,pitch_order,1.0,1.0,13;23;40;52,grapevine,GCF_021459925.1,13:3;23:10;40:50;52:18
GCF_055959565.1,almond,foreign_segment,triplet_transition,1.0,1.0,13;23;40;52,grapevine,GCF_021459925.1,13:3;23:10;40:50;52:18
GCF_055959565.1,almond,foreign_segment,sixmer,1.0,1.0,13;23;40;52,grapevine,GCF_021459925.1,13:3;23:10;40:50;52:18
GCF_055959565.1,almond,foreign_segment,compression,1.0,1.0,13;23;40;52,grapevine,GCF_021459925.1,13:3;23:10;40:50;52:18
GCF_055959275.1,almond,clustered_substitution,composition,1.0,1.0,6;28;37;40,,,
GCF_055959275.1,almond,clustered_substitution,triplet_distribution,1.0,1.0,6;28;37;40,,,
GCF_055959275.1,almond,clustered_substitution,pitch_order,1.0,1.0,6;28;37;40,,,
GCF_055959275.1,almond,clustered_substitution,triplet_transition,1.0,1.0,6;28;37;40,,,
GCF_055959275.1,almond,clustered_substitution,sixmer,1.0,1.0,6;28;37;40,,,
GCF_055959275.1,almond,clustered_substitution,compression,1.0,1.0,6;28;37;40,,,
GCF_055959275.1,almond,triplet_order_shuffle,composition,0.3169642857142857,0.0,6;28;37;40,,,
GCF_055959275.1,almond,triplet_order_shuffle,triplet_distribution,0.32142857142857145,0.0,6;28;37;40,,,
GCF_055959275.1,almond,triplet_order_shuffle,pitch_order,1.0,1.0,6;28;37;40,,,
GCF_055959275.1,almond,triplet_order_shuffle,triplet_transition,1.0,1.0,6;28;37;40,,,
GCF_055959275.1,almond,triplet_order_shuffle,sixmer,1.0,1.0,6;28;37;40,,,
